Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
1,29-05-2020,"1B/H/19/2 DUMDUM
ROAD PO COSSIPORE PS
SINTHEE KOLKATA
700002
Present Address - 27 B
Gopal Chatterjee Road",1,1,Sinthee,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
2,29-05-2020,"96 / H / 49 COSSIPORE
ROAD KOLKATA 700002",1,1,Chitpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
3,29-05-2020,"51 2 ANATH NATH DEB
LANE KOLKATA KOLKATA",3,1,Belgachhia,"The affected
flat/the
standalone house",14
4,29-05-2020,"1/1A LOCKGATE RD
KOLKATA 700002",6,1,Cossipore,"The affected
flat/the
standalone house",14
5,29-05-2020,"COSSIPORE 10/1
KHAGENDRA CHATTERJEE
ROAD KOLKATA 700002",6,1,Chitpore,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
6,29-05-2020,"8A BHABANATH SEN
STREET KOLKATA 700004",12,2,Shyambazar,"The affected
flat/the
standalone house",14
7,29-05-2020,"PEARY MOHAN SUR
LANE PEARY MOHAN
ROAD KOLKATA 700006",16,2,Goabagan,"The affected
flat/the
standalone house",14
8,29-05-2020,"1A RAMJOY SHILL LANE
700006",18,2,Sovabazar,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
9,29-05-2020,"41D 128 BIPLABI BARIN
GHOSH SARANI KOLKATA
700067",14,3,Ultadanga,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
10,29-05-2020,"32/1 MURARI PUKUR
ROAD MANIKTALA
700067",14,3,Manicktala,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
11,29-05-2020,"39 C UPENDRA CHANDRA
BENERJEE ROAD,
KANKURGACHI,
PHULBAGAN, KOLKATA",30,3,Phoolbagan,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
12,29-05-2020,"2/H/37 GHORE BIBI LANE
Kadapara, Phool Bagan,
Kankurgachi, Kolkata,
West Bengal 700054",31,3,Kadapara,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
13,29-05-2020,"34 H, 4 RADHA MADHAB
DUTTA GARDEN LANE,
KOLKATA",33,3,Beliaghata,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
14,29-05-2020,"35 SIR HARIRAM
GOENKA STREET
BARABAZAR KOLKATA
700007",23,4,Burrabazar,"The affected
flat/the
standalone house",14
15,29-05-2020,"29/1 Sir Ram GOENKA
STREET POSTA KOLKATA
700007",23,4,Burrabazar,"The affected
flat/the
standalone house",14
16,29-05-2020,"26 P K TAGORE STREET
2ND FLOOR 700006",24,4,Jorabagan,The flat itself,14
17,29-05-2020,"6/3 VIVEKANANDA
ROAD, PS-GIRISHPARK
Other West Bengal India",25,4,Girish Park,"The affected
flat/the
standalone house",14
18,29-05-2020,"JORASNKO 44A RADHA
MADHAB SAHA LANE
KOLKATA",25,4,Jorasanko,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
19,29-05-2020,"JORASANKO 2B TARA
CHAND DUTTA ST
KOLKATA 700073",43,5,Colootola,"The affected
flat/the
standalone house",14
20,29-05-2020,"NEW MARKET 12/2 A
GOAL TULI LANE
KOLKATA 700013",52,6,Janbazar,"The affected
flat/the
standalone house",14
21,29-05-2020,"14C RADHAN NATH
CHOWDHURY ROAD,
SUNRISE ESTATE, FL-
B/302, P.S. ENTALLY",56,7,Tangra,"The Apartment
itself",14
22,29-05-2020,"SUNRISE ESTATE Kolkata
West Bengal India",56,7,Entally,"The Apartment
itself",14
23,29-05-2020,"Sahebabad PRAGATI
MAIDAN KOLKATA",58,7,"Pragati
Maidan","Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
24,29-05-2020,"26c Dr Biresh guha st
KOLKATA 700017",65,7,Park Circus,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
25,29-05-2020,"KARAYA 15/1B BROAD
STREET KOLKATA 700019",65,7,Ballygunge,"The affected
flat/the
standalone house",14
26,29-05-2020,"FLAT NO-105,BLOCK-
H,G.L KHAN ROAD
TOPSIA , 700046",66,7,Topsia,The flat itself,14
27,29-05-2020,"FLAT NO-105,BLOCK-
H,G.L KHAN ROAD
TOPSIA , 700046",66,7,Topsia,The flat itself,14
28,29-05-2020,"60E BONDEL GATE PO
PS -GARIAHAT KOLKATA
700019",68,8,Bondel Gate,"The affected
flat/the
standalone house",14
29,29-05-2020,"41B LOWER RANGE
BECKBAGAN PS - KARAYA
KOLKATA PIN - 700019",69,8,Beck Bagan,"The affected
flat/the
standalone house",14
30,29-05-2020,"11/4B Chakraberia Road
(North)",69,8,Bhowanipore,"The affected
flat/the
standalone house",14
31,29-05-2020,"10 RAM MOY ROAD
KOLKATA",72,8,Bhowanipore,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
32,29-05-2020,"47/1B GARCHA ROAD,
BALLYGUNGE, KOLKATA",86,8,Ballygunge,"The affected
flat/the
standalone house",14
33,29-05-2020,"32 PANCHANANTALA
ROAD KOLKATA",90,8,Golpark,"The affected
flat/the
standalone house",14
34,29-05-2020,"31 BIJOY BOSE ROAD
BHAWANIPORE Kolkata
West Bengal India",71,9,Bhowanipore,"The affected
flat/the
standalone house",14
35,29-05-2020,"PTS 247 A J C BOSE
ROAD PS - HESTINGS
KOLKATA 700027",71,9,SSKM,"The concerned
building",14
36,29-05-2020,"PTS 247 A J C BOSE
ROAD PS - HESTINGS
KOLKATA 700027",71,9,SSKM,"The concerned
building",14
37,29-05-2020,"PTS 247 A J C BOSE
ROAD PS - ALIPORE
KOLKATA 700027",71,9,SSKM,"The concerned
building",14
38,29-05-2020,"PTS 247 A J C BOSE
ROAD PS - ALIPORE
KOLKATA 700027",71,9,SSKM,"The concerned
building",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
39,29-05-2020,"24 HARISH CHATTERJEE
STREET BHOWANIPORE
700026",73,9,Kalighat,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
40,29-05-2020,"2/2 THAKARIYA ROAD
Kolkata West Bengal
India",74,9,Alipore,"The affected
flat/the
standalone house",14
41,29-05-2020,"MANI PUSHPAK
HASTINGS KOLKATA
700022",75,9,Hastings,"The affected
flat/the
standalone house",14
42,29-05-2020,"3B KABI MD IQBAL ROAD
PS EKBALPUR Kolkata
West Bengal India",77,9,Ekbalpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
43,29-05-2020,"3a/h /6 rajab ali lane
700023",78,9,Khidderpore,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
44,29-05-2020,"36B BLOCK-B D.H ROAD
NEW ALIPORE Kolkata
West Bengal India",81,10,Majherhat,"The affected
flat/the
standalone house",14
45,29-05-2020,"58 B TOLLYGUNGE ROAD
KOLKATA 700033",81,10,Charu Market,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
46,29-05-2020,"LAKE GARDENS GOVT
HOUSING 48/4 SULTAN
ALAM ROAD KOLKATA",89,10,Lake Gardens,"The affected
flat/the
standalone house",14
47,29-05-2020,"3 E ANANDADHAM P29
32 GARIAHAT ROAD
KOLKATA 700031",92,10,Dhakuria,"The affected
flat/the
standalone house",14
,,,,,,,
Sl No.,"Date of reporting
of the case",Address,Ward,Borough,Local area,Affected Zone,"DAYS SINCE
REPORTING"
48,29-05-2020,"54 DHAKURIA STATION
ROAD KOLKATA 700031",92,10,Dhakuria,"The affected
flat/the
standalone house",14
49,29-05-2020,"6/F TELI PARA LANE
DHAKURIA 700031",92,10,Dhakuria,"The affected
flat/the
standalone house",14
50,29-05-2020,"27A MAHARAJA TAGORE
ROAD DHAKURIA
KOLKATA",92,10,Dhakuria,"The affected
flat/the
standalone house",14
51,29-05-2020,"B 4 Katjunagar Jadavpur
KOLKATA 700032",93,10,Jadavpur,"Adjacent common
passage of
affected but
including toilet
and water source
of the slum",14
